Produktnamn	BildURL1	BildURL2	BildURL3	ProduktURL
Canvastavla Retro Lounge Vibes - Tavla	https://pictufy.com/api/interiors.php?p=2548674&i=1518	https://pictufy.com/api/interiors.php?p=2548674&i=1533	https://pictufy.com/api/interiors.php?p=2548674&i=1598	https://wamaya.local/product/canvastavla-retro-lounge-vibes-tavla/
Canvastavla Celestial Reflection - Tavla	https://pictufy.com/api/interiors.php?p=2548678&i=1837	https://pictufy.com/api/interiors.php?p=2548678&i=1534	https://pictufy.com/api/interiors.php?p=2548678&i=1596	https://wamaya.local/product/canvastavla-celestial-reflection-tavla/
Canvastavla Celestial Harmony - Tavla	https://pictufy.com/api/interiors.php?p=2548662&i=1518	https://pictufy.com/api/interiors.php?p=2548662&i=1533	https://pictufy.com/api/interiors.php?p=2548662&i=1598	https://wamaya.local/product/canvastavla-celestial-harmony-tavla-2/
Canvastavla Desert Twilight - Tavla	https://pictufy.com/api/interiors.php?p=2548362&i=1837	https://pictufy.com/api/interiors.php?p=2548362&i=1534	https://pictufy.com/api/interiors.php?p=2548362&i=1596	https://wamaya.local/product/canvastavla-desert-twilight-tavla/
Canvastavla Desert Moon Majesty - Tavla	https://pictufy.com/api/interiors.php?p=2548365&i=1837	https://pictufy.com/api/interiors.php?p=2548365&i=1534	https://pictufy.com/api/interiors.php?p=2548365&i=1596	https://wamaya.local/product/canvastavla-desert-moon-majesty-tavla/
Canvastavla Desert Essence - Tavla	https://pictufy.com/api/interiors.php?p=2548370&i=1837	https://pictufy.com/api/interiors.php?p=2548370&i=1534	https://pictufy.com/api/interiors.php?p=2548370&i=1596	https://wamaya.local/product/canvastavla-desert-essence-tavla/
Canvastavla Mountain Dawn Serenity - Tavla	https://pictufy.com/api/interiors.php?p=2548418&i=86	https://pictufy.com/api/interiors.php?p=2548418&i=1533	https://pictufy.com/api/interiors.php?p=2548418&i=1598	https://wamaya.local/product/canvastavla-mountain-dawn-serenity-tavla/
Canvastavla Serpent Radiance - Tavla	https://pictufy.com/api/interiors.php?p=2548515&i=1837	https://pictufy.com/api/interiors.php?p=2548515&i=1534	https://pictufy.com/api/interiors.php?p=2548515&i=1596	https://wamaya.local/product/canvastavla-serpent-radiance-tavla/
Canvastavla Patchwork Peace - Tavla	https://pictufy.com/api/interiors.php?p=2548536&i=1837	https://pictufy.com/api/interiors.php?p=2548536&i=1534	https://pictufy.com/api/interiors.php?p=2548536&i=1596	https://wamaya.local/product/canvastavla-patchwork-peace-tavla/
Canvastavla Radiant Sunburst - Tavla	https://pictufy.com/api/interiors.php?p=2548562&i=1837	https://pictufy.com/api/interiors.php?p=2548562&i=1534	https://pictufy.com/api/interiors.php?p=2548562&i=1596	https://wamaya.local/product/canvastavla-radiant-sunburst-tavla/
Canvastavla Lunar Phases Glow - Tavla	https://pictufy.com/api/interiors.php?p=2548565&i=1837	https://pictufy.com/api/interiors.php?p=2548565&i=1534	https://pictufy.com/api/interiors.php?p=2548565&i=1596	https://wamaya.local/product/canvastavla-lunar-phases-glow-tavla-2/
Canvastavla Serpent Harmony - Tavla	https://pictufy.com/api/interiors.php?p=2548621&i=1837	https://pictufy.com/api/interiors.php?p=2548621&i=1534	https://pictufy.com/api/interiors.php?p=2548621&i=1596	https://wamaya.local/product/canvastavla-serpent-harmony-tavla/
Canvastavla Radiant Horizon - Tavla	https://pictufy.com/api/interiors.php?p=2548593&i=1837	https://pictufy.com/api/interiors.php?p=2548593&i=1534	https://pictufy.com/api/interiors.php?p=2548593&i=1596	https://wamaya.local/product/canvastavla-radiant-horizon-tavla/
Canvastavla Serene Symmetry - Tavla	https://pictufy.com/api/interiors.php?p=2548594&i=1837	https://pictufy.com/api/interiors.php?p=2548594&i=1534	https://pictufy.com/api/interiors.php?p=2548594&i=1596	https://wamaya.local/product/canvastavla-serene-symmetry-tavla/
Canvastavla Echoing Geometry - Tavla	https://pictufy.com/api/interiors.php?p=2548595&i=1837	https://pictufy.com/api/interiors.php?p=2548595&i=1534	https://pictufy.com/api/interiors.php?p=2548595&i=1596	https://wamaya.local/product/canvastavla-echoing-geometry-tavla/
Canvastavla Radiant Embrace - Tavla	https://pictufy.com/api/interiors.php?p=2548596&i=1837	https://pictufy.com/api/interiors.php?p=2548596&i=1534	https://pictufy.com/api/interiors.php?p=2548596&i=1596	https://wamaya.local/product/canvastavla-radiant-embrace-tavla/
Canvastavla Whale Serenade - Tavla	https://pictufy.com/api/interiors.php?p=2548614&i=1837	https://pictufy.com/api/interiors.php?p=2548614&i=1534	https://pictufy.com/api/interiors.php?p=2548614&i=1596	https://wamaya.local/product/canvastavla-whale-serenade-tavla/
Canvastavla Radiant Dawn Burst - Tavla	https://pictufy.com/api/interiors.php?p=2548615&i=1837	https://pictufy.com/api/interiors.php?p=2548615&i=1534	https://pictufy.com/api/interiors.php?p=2548615&i=1596	https://wamaya.local/product/canvastavla-radiant-dawn-burst-tavla/
